taxid	PW8	OS14	AP3	PW4	OS12	AP2	PW2	OS11	AP12	PW1	OS10	AP10	AP8	AP5	AP9	AP11	PW5	PW3	PW6	PW7	OS5	OS7	OS13	OS2	taxlevel	name
5401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	family	Russulaceae
6214	14	0	0	1	0	2	0	0	0	9	0	0	0	3	0	0	0	0	0	2	0	0	1	0	family	Hymenolepididae
62768	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Rhaphidophoridae
62784	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Tettigoniidae
6296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	3	0	family	Onchocercidae
6533	0	0	1	0	2	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	family	Helicidae
6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	family	Octopodidae
6856	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	family	Buthidae
6974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	family	Blattidae
7055	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	family	Scarabaeidae
7100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	23	family	Noctuidae
7402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	family	Braconidae
75557	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	11	3	family	Physalopteridae
8015	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Salmonidae
8079	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Poeciliidae
8990	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	family	Numididae
9005	0	0	0	0	25	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	0	family	Phasianidae
91896	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	family	Orobanchaceae
999999	31	12	12	1830	179	236	55	93	443	15	27	81	272	126	524	140	68	34	41	8	47	72	113	260	family	Not assigned
